Support_received_for_Stemborer,Institutions_provided_support_Stemborer,other_institutions_that_provided_support_for_Stemborer,PARENT_KEY,KEY
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:50b579ab-4d91-4f39-aa95-6aef70492dd8,uuid:50b579ab-4d91-4f39-aa95-6aef70492dd8/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1,uuid:69c66396-ea65-462d-8df2-63d9d238b7e1/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:9d207b76-9aaf-4628-9e9e-18922587f91a,uuid:9d207b76-9aaf-4628-9e9e-18922587f91a/sclamp/Stemborer_Support[1]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:ac477cab-1ee7-413a-b50f-e70edf3e3e61,uuid:ac477cab-1ee7-413a-b50f-e70edf3e3e61/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:ac477cab-1ee7-413a-b50f-e70edf3e3e61,uuid:ac477cab-1ee7-413a-b50f-e70edf3e3e61/sclamp/Stemborer_Support[2]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa,uuid:b26de55c-1a49-45fc-b703-8d291edd17aa/sclamp/Stemborer_Support[2]
PPT_Desmodium_Bracheria_Seed,Send_A_Cow,,uuid:d1a37876-85c7-41ac-bfc1-0bacbad3b4e9,uuid:d1a37876-85c7-41ac-bfc1-0bacbad3b4e9/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:d1a37876-85c7-41ac-bfc1-0bacbad3b4e9,uuid:d1a37876-85c7-41ac-bfc1-0bacbad3b4e9/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:9ec8826d-4799-4d17-b4cc-35fcd77c2856,uuid:9ec8826d-4799-4d17-b4cc-35fcd77c2856/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:89a2a445-504b-4296-8eb0-ac27c524d322,uuid:89a2a445-504b-4296-8eb0-ac27c524d322/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Govt_extension_agent,,uuid:507d3025-8c45-45c7-ace8-083782b10b4e,uuid:507d3025-8c45-45c7-ace8-083782b10b4e/sclamp/Stemborer_Support[1]
Chemicals,Govt_extension_agent,,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a,uuid:52c79a6f-0990-4b4f-8f46-5cda95f16c7a/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:9174282f-f492-403f-a863-2a932c9b1a47,uuid:9174282f-f492-403f-a863-2a932c9b1a47/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:216b83d5-19a5-4818-ab9f-ddcb6f816b01,uuid:216b83d5-19a5-4818-ab9f-ddcb6f816b01/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:7b92d160-de26-4eb8-92ea-f233cf96c539,uuid:7b92d160-de26-4eb8-92ea-f233cf96c539/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:7de11a8a-e78b-4d76-90b3-9e28249348d2,uuid:7de11a8a-e78b-4d76-90b3-9e28249348d2/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:70dd55a9-bad2-4440-9e8d-f4dc53032492,uuid:70dd55a9-bad2-4440-9e8d-f4dc53032492/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:70dd55a9-bad2-4440-9e8d-f4dc53032492,uuid:70dd55a9-bad2-4440-9e8d-f4dc53032492/sclamp/Stemborer_Support[2]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe,uuid:1b4f5c81-d022-4cf9-bc76-a5bf22fb22fe/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:34735875-ea60-4794-81e7-118ae1391ce4,uuid:34735875-ea60-4794-81e7-118ae1391ce4/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:34735875-ea60-4794-81e7-118ae1391ce4,uuid:34735875-ea60-4794-81e7-118ae1391ce4/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:34735875-ea60-4794-81e7-118ae1391ce4,uuid:34735875-ea60-4794-81e7-118ae1391ce4/sclamp/Stemborer_Support[3]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Stemborer_Support[1]
Mechanically_Remove_The_Insect,Send_A_Cow,,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Stemborer_Support[2]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2,uuid:89671743-574b-4439-b8a6-7d9bb858a5b2/sclamp/Stemborer_Support[3]
Mechanically_Remove_The_Insect,Govt_extension_agent,,uuid:3102f7fe-afde-4e0a-8515-145891762c2e,uuid:3102f7fe-afde-4e0a-8515-145891762c2e/sclamp/Stemborer_Support[1]
Training_on_Pest_and_disease_mngt,Send_A_Cow,,uuid:786577cf-d968-4fdc-bb04-f62957f23cd1,uuid:786577cf-d968-4fdc-bb04-f62957f23cd1/sclamp/Stemborer_Support[1]
